product_id,category_code,brand
44600062,,shiseido
3900821,appliances.environment.water_heater,aqua
17200506,furniture.living_room.sofa,
1307067,computers.notebook,lenovo
1004237,electronics.smartphone,apple
1480613,computers.desktop,pulser
17300353,,creed
31500053,,luminarc
28719074,apparel.shoes.keds,baden
1004545,electronics.smartphone,huawei
2900536,appliances.kitchen.microwave,elenberg
1005011,electronics.smartphone,samsung
3900746,appliances.environment.water_heater,haier
13500240,furniture.bedroom.bed,brw
23100006,,
1801995,electronics.video.tv,haier
10900029,appliances.kitchen.mixer,bosch
1306631,computers.notebook,hp
1005135,electronics.smartphone,apple
1003306,electronics.smartphone,apple
4803399,electronics.audio.headphone,jbl
1480714,computers.desktop,pulser
1004739,electronics.smartphone,xiaomi
6200260,appliances.environment.air_heater,midea
34700031,,
3900990,appliances.environment.water_heater,ariston
27500014,,redmond
19001139,,gran-stone
28719071,apparel.shoes.keds,baden
13500046,furniture.bedroom.bed,
31501072,,
10800001,,maxwell
28600026,,
26200591,,
28714755,apparel.shoes,respect
3701388,appliances.environment.vacuum,dauscher
28718079,apparel.shoes.keds,respect
2700239,appliances.kitchen.refrigerators,atlant
28717908,apparel.shoes,burgerschuhe
3701244,appliances.environment.vacuum,elenberg
4300070,,timberk
3601505,appliances.kitchen.washer,samsung
12712064,,triangle
3600575,appliances.kitchen.washer,hotpoint-ariston
2900475,appliances.kitchen.microwave,gorenje
1004767,electronics.smartphone,samsung
1701111,computers.peripherals.monitor,acer
1003141,electronics.smartphone,apple
26400291,,lucente
31501163,,luminarc
1002544,electronics.smartphone,apple
26500313,,lucente
13500041,furniture.bedroom.bed,brw
4100126,,sony
19000296,,gran-stone
28717211,,respect
1005105,electronics.smartphone,apple
1307135,computers.notebook,hp
1004659,electronics.smartphone,samsung
4804295,electronics.audio.headphone,xiaomi
1004873,electronics.smartphone,samsung
1005073,electronics.smartphone,samsung
4802639,electronics.audio.headphone,sony
3900930,appliances.environment.water_heater,teploross
3701062,appliances.environment.vacuum,gorenje
4300262,,vitek
27500015,,kelli
10900026,appliances.kitchen.mixer,panasonic
1004870,electronics.smartphone,samsung
1306083,computers.notebook,hp
1307004,computers.notebook,lenovo
1004856,electronics.smartphone,samsung
27700113,construction.tools.pump,leo
15100337,,
1004836,electronics.smartphone,samsung
26500144,,lucente
32601078,,okuma
1801555,electronics.video.tv,lg
1004497,electronics.smartphone,nokia
50500080,,krause
28708392,apparel.shoes.keds,strobbs
34700023,,
1004785,electronics.smartphone,huawei
15100008,,bts
10800076,,redmond
3900815,appliances.environment.water_heater,ariston
1801551,electronics.video.tv,haier
3500210,,vitek
1005115,electronics.smartphone,apple
26200210,,
3900774,appliances.environment.water_heater,artel
1004158,electronics.smartphone,samsung
1801796,electronics.video.tv,elenberg
1480734,computers.desktop,pulser
6200688,appliances.environment.air_heater,oasis
13100083,,skad
1003549,electronics.smartphone,samsung
1004720,electronics.smartphone,huawei
18000928,,samsung
4100138,,sony
18400215,,pride
1004258,electronics.smartphone,apple
1004792,electronics.smartphone,xiaomi
5100855,electronics.clocks,apple
1004321,electronics.smartphone,huawei
1003317,electronics.smartphone,apple
1003305,electronics.smartphone,apple
3701226,appliances.environment.vacuum,redmond
1480456,computers.desktop,pulser
28714158,apparel.shoes.slipons,caprice
28715758,apparel.shoes.keds,nexpero
6200547,appliances.environment.air_heater,oasis
4100274,,microsoft
1004249,electronics.smartphone,apple
6200315,appliances.environment.air_heater,elenberg
26201000,,lucente
1004661,electronics.smartphone,samsung
1002528,electronics.smartphone,apple
18400077,,kicx
26201858,,
1307073,computers.notebook,acer
1004949,electronics.smartphone,oneplus
5100816,,xiaomi
13101547,,skad
17200142,furniture.living_room.sofa,
28716595,apparel.shoes,baden
29800033,furniture.living_room.chair,
32800211,,rush
10800132,,redmond
6200035,appliances.environment.air_heater,elenberg
21403078,electronics.clocks,casio
3500132,,kenwood
1005072,electronics.smartphone,samsung
13100022,,skad
2700618,appliances.kitchen.refrigerators,indesit
4300376,,polaris
1005143,electronics.smartphone,apple
21402696,electronics.clocks,
18400336,,kicx
3500093,,
50600002,auto.accessories.compressor,
1004838,electronics.smartphone,oppo
1003756,electronics.smartphone,nokia
50600000,auto.accessories.compressor,
5100239,electronics.clocks,samsung
1307370,computers.notebook,acer
3200321,appliances.kitchen.meat_grinder,redmond
1002532,electronics.smartphone,apple
10800025,,redmond
13104940,,kipardo
28715611,apparel.shoes.keds,fila
28718142,apparel.shoes,fassen
4300382,,xiaomi
6200514,appliances.environment.air_heater,ballu
1005100,electronics.smartphone,samsung
22700161,,stanley
37900169,,vega
4300285,,electrolux
1005020,electronics.smartphone,nokia
1307189,computers.notebook,lenovo
1004874,electronics.smartphone,samsung
27701120,construction.tools.pump,leo
3500149,,bosch
28717034,apparel.shoes.keds,strobbs
13400051,,
29800030,furniture.living_room.chair,
26204064,,
1005101,electronics.smartphone,xiaomi
1306359,computers.notebook,acer
19000997,,gran-stone
12711630,,yokohama
15100367,,
6200965,appliances.environment.air_heater,elenberg
5100705,electronics.clocks,garmin
13400419,,brw
13400379,,sv
27700106,construction.tools.pump,leo
1306949,computers.notebook,acer
6700940,computers.components.videocards,gigabyte
22700129,,stels
2701605,appliances.kitchen.refrigerators,indesit
5300650,,vitek
1004946,electronics.smartphone,oneplus
2900418,appliances.kitchen.microwave,ava
16800186,furniture.kitchen.table,
13400136,,
15100034,,
3500292,,kenwood
5100561,electronics.clocks,garmin
26300089,,lucente
22700044,,total
16800331,furniture.kitchen.table,
12709227,,sailun
3700823,appliances.environment.vacuum,bosch
10800084,,clatronic
17000063,computers.desktop,trust
1004993,electronics.smartphone,oneplus
12300231,construction.tools.drill,dewalt
1004281,electronics.smartphone,bq
1004994,electronics.smartphone,oneplus
1004867,electronics.smartphone,xiaomi
4300260,,xiaomi
15100220,,
1004869,electronics.smartphone,xiaomi
27400040,,oral-b
28704388,apparel.shoes.keds,asics
3500303,,arnica
12703421,,cordiant
8901605,kids.toys,chicco
15100214,,
10800074,,redmond
2700984,appliances.kitchen.refrigerators,samsung
2701639,appliances.kitchen.refrigerators,indesit
1004209,electronics.smartphone,samsung
1004415,electronics.smartphone,bq
28705258,apparel.shoes,respect
37900138,,vega
10800048,,redmond
15700176,,bts
17300555,,dior
12703015,,cordiant
2601543,,hansa
1004966,electronics.smartphone,oppo
1004284,electronics.smartphone,bq
26204088,,
13400134,,
19000265,,gran-stone
2700609,appliances.kitchen.refrigerators,indesit
26400672,,lucente
28101002,,
26300087,,lucente
1005102,electronics.smartphone,xiaomi
21400341,electronics.clocks,
13103001,,trebl
1004858,electronics.smartphone,samsung
15100288,,
17000038,computers.desktop,polaris
12703419,,cordiant
4300378,,polaris
5600043,appliances.environment.air_heater,electrolux
39600005,,intex
21405154,electronics.clocks,
47100001,,celestron
1307365,computers.notebook,lenovo
2702277,appliances.kitchen.refrigerators,lg
26402783,,
41300118,,arena
1005130,electronics.smartphone,apple
26204062,,
16400204,,granhel
26500138,,lucente
