event_time,date,hour,day_of_week,time_id
2019-10-01 00:00:00+00:00,2019-10-01,0,Tuesday,0
2019-10-01 00:00:01+00:00,2019-10-01,0,Tuesday,2
2019-10-01 00:00:04+00:00,2019-10-01,0,Tuesday,4
2019-10-01 00:00:05+00:00,2019-10-01,0,Tuesday,5
2019-10-01 00:00:08+00:00,2019-10-01,0,Tuesday,6
2019-10-01 00:00:10+00:00,2019-10-01,0,Tuesday,8
2019-10-01 00:00:11+00:00,2019-10-01,0,Tuesday,9
2019-10-01 00:00:13+00:00,2019-10-01,0,Tuesday,12
2019-10-01 00:00:15+00:00,2019-10-01,0,Tuesday,13
2019-10-01 00:00:16+00:00,2019-10-01,0,Tuesday,14
2019-10-01 00:00:17+00:00,2019-10-01,0,Tuesday,15
2019-10-01 00:00:18+00:00,2019-10-01,0,Tuesday,16
2019-10-01 00:00:19+00:00,2019-10-01,0,Tuesday,18
2019-10-01 00:00:20+00:00,2019-10-01,0,Tuesday,20
2019-10-01 00:00:22+00:00,2019-10-01,0,Tuesday,22
2019-10-01 00:00:23+00:00,2019-10-01,0,Tuesday,23
2019-10-01 00:00:24+00:00,2019-10-01,0,Tuesday,25
2019-10-01 00:00:25+00:00,2019-10-01,0,Tuesday,27
2019-10-01 00:00:26+00:00,2019-10-01,0,Tuesday,30
2019-10-01 00:00:27+00:00,2019-10-01,0,Tuesday,32
2019-10-01 00:00:28+00:00,2019-10-01,0,Tuesday,34
2019-10-01 00:00:30+00:00,2019-10-01,0,Tuesday,37
2019-10-01 00:00:31+00:00,2019-10-01,0,Tuesday,38
2019-10-01 00:00:33+00:00,2019-10-01,0,Tuesday,40
2019-10-01 00:00:34+00:00,2019-10-01,0,Tuesday,42
2019-10-01 00:00:35+00:00,2019-10-01,0,Tuesday,43
2019-10-01 00:00:36+00:00,2019-10-01,0,Tuesday,46
2019-10-01 00:00:37+00:00,2019-10-01,0,Tuesday,50
2019-10-01 00:00:41+00:00,2019-10-01,0,Tuesday,51
2019-10-01 00:00:42+00:00,2019-10-01,0,Tuesday,52
2019-10-01 00:00:43+00:00,2019-10-01,0,Tuesday,54
2019-10-01 00:00:44+00:00,2019-10-01,0,Tuesday,55
2019-10-01 00:00:46+00:00,2019-10-01,0,Tuesday,59
2019-10-01 00:00:50+00:00,2019-10-01,0,Tuesday,61
2019-10-01 00:00:51+00:00,2019-10-01,0,Tuesday,65
2019-10-01 00:00:55+00:00,2019-10-01,0,Tuesday,66
2019-10-01 00:00:56+00:00,2019-10-01,0,Tuesday,67
2019-10-01 00:00:57+00:00,2019-10-01,0,Tuesday,68
2019-10-01 00:00:58+00:00,2019-10-01,0,Tuesday,70
2019-10-01 00:01:00+00:00,2019-10-01,0,Tuesday,71
2019-10-01 00:01:02+00:00,2019-10-01,0,Tuesday,74
2019-10-01 00:01:04+00:00,2019-10-01,0,Tuesday,76
2019-10-01 00:01:05+00:00,2019-10-01,0,Tuesday,77
2019-10-01 00:01:06+00:00,2019-10-01,0,Tuesday,78
2019-10-01 00:01:07+00:00,2019-10-01,0,Tuesday,80
2019-10-01 00:01:08+00:00,2019-10-01,0,Tuesday,81
2019-10-01 00:01:09+00:00,2019-10-01,0,Tuesday,82
2019-10-01 00:01:10+00:00,2019-10-01,0,Tuesday,83
2019-10-01 00:01:11+00:00,2019-10-01,0,Tuesday,84
2019-10-01 00:01:12+00:00,2019-10-01,0,Tuesday,85
2019-10-01 00:01:14+00:00,2019-10-01,0,Tuesday,86
2019-10-01 00:01:15+00:00,2019-10-01,0,Tuesday,88
2019-10-01 00:01:16+00:00,2019-10-01,0,Tuesday,89
2019-10-01 00:01:17+00:00,2019-10-01,0,Tuesday,90
2019-10-01 00:01:21+00:00,2019-10-01,0,Tuesday,92
2019-10-01 00:01:23+00:00,2019-10-01,0,Tuesday,93
2019-10-01 00:01:24+00:00,2019-10-01,0,Tuesday,94
2019-10-01 00:01:25+00:00,2019-10-01,0,Tuesday,96
2019-10-01 00:01:26+00:00,2019-10-01,0,Tuesday,97
2019-10-01 00:01:27+00:00,2019-10-01,0,Tuesday,98
2019-10-01 00:01:28+00:00,2019-10-01,0,Tuesday,99
2019-10-01 00:01:29+00:00,2019-10-01,0,Tuesday,101
2019-10-01 00:01:30+00:00,2019-10-01,0,Tuesday,103
2019-10-01 00:01:31+00:00,2019-10-01,0,Tuesday,106
2019-10-01 00:01:32+00:00,2019-10-01,0,Tuesday,108
2019-10-01 00:01:33+00:00,2019-10-01,0,Tuesday,109
2019-10-01 00:01:34+00:00,2019-10-01,0,Tuesday,111
2019-10-01 00:01:35+00:00,2019-10-01,0,Tuesday,112
2019-10-01 00:01:36+00:00,2019-10-01,0,Tuesday,113
2019-10-01 00:01:39+00:00,2019-10-01,0,Tuesday,115
2019-10-01 00:01:40+00:00,2019-10-01,0,Tuesday,119
2019-10-01 00:01:41+00:00,2019-10-01,0,Tuesday,120
2019-10-01 00:01:42+00:00,2019-10-01,0,Tuesday,121
2019-10-01 00:01:43+00:00,2019-10-01,0,Tuesday,123
2019-10-01 00:01:44+00:00,2019-10-01,0,Tuesday,125
2019-10-01 00:01:45+00:00,2019-10-01,0,Tuesday,127
2019-10-01 00:01:46+00:00,2019-10-01,0,Tuesday,129
2019-10-01 00:01:47+00:00,2019-10-01,0,Tuesday,130
2019-10-01 00:01:48+00:00,2019-10-01,0,Tuesday,132
2019-10-01 00:01:50+00:00,2019-10-01,0,Tuesday,134
2019-10-01 00:01:51+00:00,2019-10-01,0,Tuesday,136
2019-10-01 00:01:52+00:00,2019-10-01,0,Tuesday,138
2019-10-01 00:01:53+00:00,2019-10-01,0,Tuesday,139
2019-10-01 00:01:54+00:00,2019-10-01,0,Tuesday,140
2019-10-01 00:01:58+00:00,2019-10-01,0,Tuesday,141
